"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"0.3112","Positive","18.528853717972183","interacts with","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.001","false","interacts with","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"0.1693","Positive","26.880485260235737","interacts with","f3f92c383527fe95a92d58291e300654_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.049","false","interacts with","f3f92c383527fe95a92d58291e300654_bacteria (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.2728","Negative","8.831961025611152","interacts with","89206af4589b68a36b3313e1be7c6448_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.003","false","interacts with","89206af4589b68a36b3313e1be7c6448_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.214","Negative","8.421249281077365","interacts with","9a06988e426d7ef4663c568dcd331ca0_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.012","false","interacts with","9a06988e426d7ef4663c568dcd331ca0_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.1882","Negative","13.08049885645942","interacts with","6dec4a7642385d3256e7c0ab2c05366d_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.031","false","interacts with","6dec4a7642385d3256e7c0ab2c05366d_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.1754","Negative","9.174772215950174","interacts with","007761694cceb108c141cce8750b23b5_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.028","false","interacts with","007761694cceb108c141cce8750b23b5_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.173","Negative","11.764800472156384","interacts with","55d3ffaf20a40a432de7989e6d6d5a00_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.029","false","interacts with","55d3ffaf20a40a432de7989e6d6d5a00_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.1605","Negative","10.382868878411246","interacts with","c0a6013edcd750f053a34cc2e955055c_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.041","false","interacts with","c0a6013edcd750f053a34cc2e955055c_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.1657","Negative","10.707170205544566","interacts with","25f16fb9e13dc11d9cdb2563441d93ea_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.046","false","interacts with","25f16fb9e13dc11d9cdb2563441d93ea_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.164","Negative","9.799330118842313","interacts with","b5b89cca5a0cb0c01db814cb6f693f9f_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.034","false","interacts with","b5b89cca5a0cb0c01db814cb6f693f9f_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.1756","Negative","11.85392123874932","interacts with","5f279c746c8e0dc1b9305887f0cbae5a_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.019","false","interacts with","5f279c746c8e0dc1b9305887f0cbae5a_fungi (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.2032","Negative","27.506858699241505","interacts with","f797cf2765402dd3d1f72f7838c4a54c_oomycete (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.017","false","interacts with","f797cf2765402dd3d1f72f7838c4a54c_oomycete (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"-0.1663","Negative","23.803510397563592","interacts with","6296e399d6b6f58b22cb3ffc96a1bcfe_eukaryote (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria","0.037","false","interacts with","6296e399d6b6f58b22cb3ffc96a1bcfe_eukaryote (interacts with) 8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria"
"0.17","Positive","21.42529260225064","interacts with","5d0942009326032f72c94ca27dc2015d_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.039","false","interacts with","5d0942009326032f72c94ca27dc2015d_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.2653","Positive","8.746838161838161","interacts with","943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.005","false","interacts with","943689dc4b1c713707c1520019c4e91d_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.4424","Positive","7.226013986013984","interacts with","162bf54549080b290d1ec8b0e6afbc1b_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.001","false","interacts with","162bf54549080b290d1ec8b0e6afbc1b_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.388","Positive","8.112949827949826","interacts with","d0c26a44a7a8b6ee4ba716861fc44da2_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.001","false","interacts with","d0c26a44a7a8b6ee4ba716861fc44da2_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.2747","Positive","13.202836052836052","interacts with","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.002","false","interacts with","c4e15ee4c6a6debb8ef308d21e737e8e_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"-0.1931","Negative","17.49181461045162","interacts with","d48f4cda1feee6851d5bcf2d520066b9_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.015","false","interacts with","d48f4cda1feee6851d5bcf2d520066b9_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.298","Positive","8.935166605501287","interacts with","613010f6345bf00e94847229463fe089_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.001","false","interacts with","613010f6345bf00e94847229463fe089_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"-0.1596","Negative","18.163101419653135","interacts with","f3f92c383527fe95a92d58291e300654_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.046","false","interacts with","f3f92c383527fe95a92d58291e300654_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.307","Positive","10.985087719298248","interacts with","eb9cdec519d0a08dcfb47dfac31c9b82_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.002","false","interacts with","eb9cdec519d0a08dcfb47dfac31c9b82_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.3808","Positive","8.68647224049663","interacts with","cfad561ce0a5f1aaddf0970d204a1e35_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.001","false","interacts with","cfad561ce0a5f1aaddf0970d204a1e35_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"-0.2562","Negative","15.657755780214943","interacts with","9de1b23e9381d3596dec0fd5a5bfc900_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.002","false","interacts with","9de1b23e9381d3596dec0fd5a5bfc900_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.3013","Positive","7.256864991377186","interacts with","958e14f4806af8a06db61870561138f7_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.002","false","interacts with","958e14f4806af8a06db61870561138f7_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.3392","Positive","5.8473179917553315","interacts with","ed6fcc3e0305e5fa551e1c67f33c1226_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.002","false","interacts with","ed6fcc3e0305e5fa551e1c67f33c1226_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.3979","Positive","4.444516594516594","interacts with","cb7f33c9ab6b6cc48e850692a6e57201_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.001","false","interacts with","cb7f33c9ab6b6cc48e850692a6e57201_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"0.1425","Positive","11.446853676289475","interacts with","6b9ca3313d241ab32629d7d007bfa458_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.032","false","interacts with","6b9ca3313d241ab32629d7d007bfa458_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"-0.2356","Negative","11.790876744696478","interacts with","c256985cf7f385fa0e158aac9692f64d_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.003","false","interacts with","c256985cf7f385fa0e158aac9692f64d_bacteria (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"-0.1616","Negative","10.889425048635571","interacts with","9fc26e6596f0b0189c6b268cc4d8d67b_fungi (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.046","false","interacts with","9fc26e6596f0b0189c6b268cc4d8d67b_fungi (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"-0.1955","Negative","23.919669541530272","interacts with","5743cd46a67f26fc2a0a910a35f1b12f_fungi (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.008","false","interacts with","5743cd46a67f26fc2a0a910a35f1b12f_fungi (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
"-0.1706","Negative","15.06000845095937","interacts with","d4ced3fcf757696111ad371371ff4cce_fungi (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria","0.037","false","interacts with","d4ced3fcf757696111ad371371ff4cce_fungi (interacts with) 6025a8d68dfe9ed561f3501b70ef5274_bacteria"
