"Cor","CorrType","EdgeBetweenness","interaction","name","Pvalue","selected","shared interaction","shared name"
"0.1492","Positive","14.833094654083597","interacts with","e2b4a9650cb0b33c1220554634223c59_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.042","false","interacts with","e2b4a9650cb0b33c1220554634223c59_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1592","Positive","17.01285132547583","interacts with","a969b7e9ee836c48ee319226ac0aac95_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.019","false","interacts with","a969b7e9ee836c48ee319226ac0aac95_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"0.1576","Positive","10.327187685181732","interacts with","d54ca076b9cf97723c4a8be8304c05e1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.025","false","interacts with","d54ca076b9cf97723c4a8be8304c05e1_bacteria (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2012","Negative","17.581834298181334","interacts with","9fc26e6596f0b0189c6b268cc4d8d67b_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.018","false","interacts with","9fc26e6596f0b0189c6b268cc4d8d67b_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.431","Negative","7.222761622154181","interacts with","a4830ec2beeeeaef48f6d7f401df4241_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","a4830ec2beeeeaef48f6d7f401df4241_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2604","Negative","11.507888260968603","interacts with","12907f7fde00bb40c358a652d79ffcb6_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.004","false","interacts with","12907f7fde00bb40c358a652d79ffcb6_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2036","Negative","16.254450448325578","interacts with","89206af4589b68a36b3313e1be7c6448_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.02","false","interacts with","89206af4589b68a36b3313e1be7c6448_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2932","Negative","7.57638959705909","interacts with","d7a05ca6b0cf4959a1d5af8842fb78fa_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","d7a05ca6b0cf4959a1d5af8842fb78fa_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2135","Negative","9.831045069839332","interacts with","9561dff2fb67039404a8a5d6c669959c_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.016","false","interacts with","9561dff2fb67039404a8a5d6c669959c_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
"-0.2851","Negative","11.631697656699659","interacts with","9a06988e426d7ef4663c568dcd331ca0_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria","0.001","false","interacts with","9a06988e426d7ef4663c568dcd331ca0_fungi (interacts with) 6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria"
