Feature ID	Confidence	Domain	Phylum	Class	Order	Family	Genus	Species	Origin	Kingdom	Supergroup	Division	Subdivision
ceee220609a2c59a63c2465fef59aedf_fungi	0.9558975362175988		Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_dimennae	UNITE	Fungi			
8a3d63d4427dc51a104c131924308d23_fungi	0.714065376681271		Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium_sp	UNITE	Fungi			
423ca2447f031f4fe0a5098c6b0653c2_fungi	0.948972432950251		Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Bradymyces	Bradymyces_sp	UNITE	Fungi			
5427093a2c2d2ff3c0871d565a46c95e_fungi	0.7497765572178603		Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Ophiognomonia	Ophiognomonia_intermedia	UNITE	Fungi			
fe44bdd4e8dad2ca037274f0349cb233_fungi	0.9990535069792931		Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria_sp	UNITE	Fungi			
9f19d1db7fdab10e5040aaed7fb9124c_fungi	0.8073942844847073		Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	Helotiales_sp	UNITE	Fungi			
a98bb9336588ddecfed6cd26ba577381_fungi	0.9921100719631866		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae			UNITE	Fungi			
6efaa53a6ec2cb636a89988d516e6db5_fungi	0.9579934469569781		Eukaryota_phy_Incertae_sedis	Eukaryota_cls_Incertae_sedis	Eukaryota_ord_Incertae_sedis	Eukaryota_fam_Incertae_sedis	Eukaryota_gen_Incertae_sedis	Eukaryota_sp	UNITE	Eukaryota_kgd_Incertae_sedis			
804d1a5a275f43e6663ef9c086b6c970_fungi	0.9798892655678243		Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_fonsecae	UNITE	Fungi			
c5c246bceaf2d591eb1b52b0573754db_fungi	0.9452329061160353		Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	UNITE	Fungi			
