Cor,CorrType,EdgeBetweenness,interaction,Pvalue,selected,shared interaction,shared name,partner1,partner2,Source,Target,a_d_interaction
-0.163,Negative,16.01663855629238,interacts with,0.036,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) cfad561ce0a5f1aaddf0970d204a1e35_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,cfad561ce0a5f1aaddf0970d204a1e35_bacteria,0176,0021,0
-0.1902,Negative,10.269360427363289,interacts with,0.02,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) cfad561ce0a5f1aaddf0970d204a1e35_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,cfad561ce0a5f1aaddf0970d204a1e35_bacteria,0083,0021,0
-0.3407,Negative,12.9703553765715,interacts with,0.001,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) cfad561ce0a5f1aaddf0970d204a1e35_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,cfad561ce0a5f1aaddf0970d204a1e35_bacteria,0127,0021,0
-0.2445,Negative,10.92113593985244,interacts with,0.002,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 502b0a65026efd878a4e4c9295cc9e01_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,502b0a65026efd878a4e4c9295cc9e01_bacteria,0176,0251,0
-0.1648,Negative,13.169418548319754,interacts with,0.038,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 502b0a65026efd878a4e4c9295cc9e01_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,502b0a65026efd878a4e4c9295cc9e01_bacteria,0127,0251,0
-0.2498,Negative,8.747915812301201,interacts with,0.001,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 520fe6acd695f8e09998c6746855e420_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,520fe6acd695f8e09998c6746855e420_bacteria,0083,0024,0
-0.2613,Negative,11.206505538823684,interacts with,0.003,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 958e14f4806af8a06db61870561138f7_bacteria,007761694cceb108c141cce8750b23b5_fungi,958e14f4806af8a06db61870561138f7_bacteria,0073,0154,0
-0.1787,Negative,8.9389777353984,interacts with,0.028,False,interacts with,08abdffc486630512a1123f8c3bdc96c_fungi (interacts with) 958e14f4806af8a06db61870561138f7_bacteria,08abdffc486630512a1123f8c3bdc96c_fungi,958e14f4806af8a06db61870561138f7_bacteria,0176,0154,0
-0.2044,Negative,24.781668001200813,interacts with,0.004,False,interacts with,007761694cceb108c141cce8750b23b5_fungi (interacts with) 5021bd1879d31f301889c2bfafefb3d2_bacteria,007761694cceb108c141cce8750b23b5_fungi,5021bd1879d31f301889c2bfafefb3d2_bacteria,0073,0247,0
-0.1405,Negative,14.621393680711384,interacts with,0.045,False,interacts with,6f919188220b0c82be4439bb63dd189e_fungi (interacts with) 5021bd1879d31f301889c2bfafefb3d2_bacteria,6f919188220b0c82be4439bb63dd189e_fungi,5021bd1879d31f301889c2bfafefb3d2_bacteria,0222,0247,0
-0.248,Negative,9.355687201627108,interacts with,0.001,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) 3ade6fe2d83cee514a202e7c8237dc14_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,3ade6fe2d83cee514a202e7c8237dc14_bacteria,0083,0025,0
-0.1682,Negative,11.8814406168477,interacts with,0.029,False,interacts with,5a7fabdfc2b1915ca336712e300eb727_eukaryote (interacts with) 41701e0adab2a616c9ee9b352beca639_bacteria,5a7fabdfc2b1915ca336712e300eb727_eukaryote,41701e0adab2a616c9ee9b352beca639_bacteria,0127,0111,0
-0.2129,Negative,9.71045236586982,interacts with,0.006,False,interacts with,cc72eaa86c2be573136acdf59cda9fc3_oomycete (interacts with) eb434ae05f7cf08515f5a9eedc7b77b9_bacteria,cc72eaa86c2be573136acdf59cda9fc3_oomycete,eb434ae05f7cf08515f5a9eedc7b77b9_bacteria,0083,0026,0
