Node1	Node2	Pvalue	Cor	CorrType
db088fb981fe23ea98703dd147a9a18a_bacteria	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.015	-0.177	Negative
1c4babd5c824cef4804874bbb6b29ab9_bacteria	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.002	-0.2356	Negative
eaa0ba9ff4398edf205048df9a36f578_fungi	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.012	0.202	Positive
9a06988e426d7ef4663c568dcd331ca0_fungi	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.008	-0.2294	Negative
4745af0659fd8962bab4c6f134456248_fungi	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.001	-0.2625	Negative
7d8361bafb81458a6092cf72051fb8ba_fungi	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.01	-0.1932	Negative
2b58ac3373c047a1eebbf7a75e2e0552_fungi	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.003	-0.2456	Negative
ff21cdb7dbfc34641ccd2c104ef231e4_fungi	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.015	-0.1758	Negative
45b5a9d374f7fdde8ee02d381737f261_fungi	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.001	-0.2983	Negative
5a7fabdfc2b1915ca336712e300eb727_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.022	0.1933	Positive
99318de41dd49424cad9bf4501ab86ce_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.001	0.2613	Positive
cdfb9490b3e043a9832cbace39b2d3fb_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.03	0.1713	Positive
fa5d2b7bc448a32fa9ec8262e24231be_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.029	0.1862	Positive
070546cd0046c9701f90304909b45ada_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.006	0.2075	Positive
c42c09f149cbb96ab465fe8b2be206c3_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.005	0.2229	Positive
7b3f8ac4cc1c569e824043a8fc99c323_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.021	-0.1666	Negative
6f5d3bfd51485fbd9a71c476a19b3241_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.009	-0.2058	Negative
a0026d509095158fccba24e0a4c3ef6e_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.017	0.1656	Positive
38c850022d0700fa24b06d5dd3f8da40_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.039	0.1411	Positive
5cea4c9d87a8d0134d2b58e91c510d8c_eukaryote	c2ff2968fc5eb368695f90ee12c20b86_bacteria	0.001	-0.2459	Negative
c861b1ec2e390a9906dec7ee827ab766_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.001	0.3018	Positive
55e2f6614bc214f35d8745edeee16727_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.011	0.2176	Positive
5d0942009326032f72c94ca27dc2015d_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.001	0.5406	Positive
41e3305635db95437d26c71fbb3e9886_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.004	0.2733	Positive
0c0605a3c4b75dfc31857a9167487df1_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.002	0.2904	Positive
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.002	0.2803	Positive
162bf54549080b290d1ec8b0e6afbc1b_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.003	0.2738	Positive
0cb8dc0c56bd0e3524dba46d210b26c9_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	0.001	0.3178	Positive
